draw,gene_id,gene_name,rank,in_top_10
541,dd_Smed_v6_2442_0_1,dd2442,79,False
541,dd_Smed_v6_8104_0_1,soxB1-2 (not deposited),89,False
541,dd_Smed_v6_10038_0_1,"Schmidtea mediterranea Zeb-1 mRNA, complete cds",76,False
541,dd_Smed_v6_6114_0_1,dd6114,82,False
541,dd_Smed_v6_17731_0_1,sim,81,False
541,dd_Smed_v6_17726_0_1,Pax6A,70,False
541,dd_Smed_v6_38033_0_1,dd38033,53,False
541,dd_Smed_v6_9893_0_1,coe,99,False
541,dd_Smed_v6_18719_0_1,dd18719,98,False
541,dd_Smed_v6_14362_0_1,dd14362,84,False
541,dd_Smed_v6_17534_0_1,arh,90,False
541,dd_Smed_v6_12617_0_1,dd12617,68,False
541,dd_Smed_v6_58909_0_1,gata4/5/6-3,87,False
541,dd_Smed_v6_13215_0_1,soxB,92,False
541,dd_Smed_v6_17498_0_1,dd17498,46,False
541,dd_Smed_v6_15473_0_1,dd15473,77,False
541,dd_Smed_v6_10219_0_1,dd10219,88,False
541,dd_Smed_v6_13772_0_1,PROX-1,74,False
541,dd_Smed_v6_20755_0_1,dd20755,86,False
541,dd_Smed_v6_11935_0_1,dd11935,96,False
541,dd_Smed_v6_18972_0_1,dd18972,67,False
541,dd_Smed_v6_6470_0_1,tbx2/3b,94,False
541,dd_Smed_v6_9460_0_2,dd9460,85,False
541,dd_Smed_v6_6778_0_1,dd6778,95,False
541,dd_Smed_v6_14315_0_1,dd14937,91,False
541,dd_Smed_v6_8820_0_1,islet1,73,False
541,dd_Smed_v6_16399_0_1,meis,66,False
541,dd_Smed_v6_19757_0_1,dd19757,97,False
541,dd_Smed_v6_18952_0_1,scratch,93,False
542,dd_Smed_v6_14115_0_1,dd14115,1,True
542,dd_Smed_v6_19890_0_1,dd19890,5,True
542,dd_Smed_v6_13343_0_1,dd13343,2,True
542,dd_Smed_v6_26877_0_1,dd26877,3,True
542,dd_Smed_v6_2946_0_1,dd2946,6,True
542,dd_Smed_v6_38342_0_1,dd38342,4,True
542,dd_Smed_v6_28804_0_1,dd28804,38,False
542,dd_Smed_v6_14712_0_1,dd14712,9,True
542,dd_Smed_v6_22331_0_1,dd22331,24,False
542,dd_Smed_v6_22163_0_1,dd22163,17,False
542,dd_Smed_v6_16472_0_1,dd16472,12,False
542,dd_Smed_v6_31784_0_1,dd31784,10,True
542,dd_Smed_v6_16955_0_1,dd16955,7,True
542,dd_Smed_v6_28888_0_1,dd28888,14,False
542,dd_Smed_v6_18207_0_1,dd18207,13,False
542,dd_Smed_v6_16007_0_1,dd16007,30,False
542,dd_Smed_v6_37930_0_1,dd37930,8,True
542,dd_Smed_v6_31217_0_1,dd31217,27,False
542,dd_Smed_v6_30562_0_1,dd30562,11,False
542,dd_Smed_v6_6626_0_1,dd6626,15,False
542,dd_Smed_v6_14824_0_1,dd14824,26,False
542,dd_Smed_v6_11930_0_1,dd11930,36,False
542,dd_Smed_v6_29211_0_1,dd29211,33,False
542,dd_Smed_v6_34144_0_1,dd34144,28,False
542,dd_Smed_v6_12170_0_1,dd12170,23,False
542,dd_Smed_v6_12722_0_1,dd12722,42,False
542,dd_Smed_v6_35379_0_1,dd35379,40,False
542,dd_Smed_v6_11150_0_1,dd11150,37,False
542,dd_Smed_v6_10320_0_1,dd10320,18,False
542,dd_Smed_v6_36829_0_1,dd36829,31,False
542,dd_Smed_v6_12010_0_1,dd12010,51,False
542,dd_Smed_v6_4048_0_1,dd4048,75,False
542,dd_Smed_v6_12317_0_1,dd12317,45,False
542,dd_Smed_v6_20282_0_1,dd20282,22,False
542,dd_Smed_v6_17324_0_1,dd17324,47,False
542,dd_Smed_v6_14213_0_1,dd14213,16,False
542,dd_Smed_v6_9774_0_1,Six1/2-2,21,False
542,dd_Smed_v6_18125_0_1,dd18125,20,False
542,dd_Smed_v6_13474_0_1,dd13474,56,False
542,dd_Smed_v6_9596_0_1,dd9596,54,False
542,dd_Smed_v6_15253_0_1,pitx,35,False
542,dd_Smed_v6_17476_0_1,dd17476,48,False
542,dd_Smed_v6_7227_0_1,dd7227,34,False
542,dd_Smed_v6_16646_0_1,dd16646,29,False
542,dd_Smed_v6_11893_0_1,dd11893,19,False
542,dd_Smed_v6_33456_0_1,dd33456,57,False
542,dd_Smed_v6_18422_0_1,dd18422,39,False
542,dd_Smed_v6_46523_0,dd46523,61,False
542,dd_Smed_v6_13704_0_1,ptf-4,32,False
542,dd_Smed_v6_33575_0_1,dd33575,43,False
542,dd_Smed_v6_16524_0_1,dd16524,25,False
542,dd_Smed_v6_9287_0_1,dd9287,49,False
542,dd_Smed_v6_14753_0_1,ascl-2,52,False
542,dd_Smed_v6_10911_0_1,dd10911,46,False
542,dd_Smed_v6_13898_0_1,nkx2-like,77,False
542,dd_Smed_v6_7033_0_1,dd7033,64,False
542,dd_Smed_v6_16466_0_1,dd16466,53,False
542,dd_Smed_v6_16124_0_1,runt-1,80,False
542,dd_Smed_v6_14633_0_1,otxA,55,False
542,dd_Smed_v6_37276_0_1,dd37276,67,False
542,dd_Smed_v6_52497_0_1,hmx-1,87,False
542,dd_Smed_v6_1399_0_1,dd1399,59,False
542,dd_Smed_v6_25769_0_1,dd25769,82,False
542,dd_Smed_v6_48430_0_1,ovo,44,False
542,dd_Smed_v6_19286_0_1,dd19286,58,False
542,dd_Smed_v6_15104_0_1,ap2,41,False
542,dd_Smed_v6_49988_0_1,dd49988,71,False
542,dd_Smed_v6_13056_0_1,tcf1,63,False
542,dd_Smed_v6_15555_0_1,pou4l-1,78,False
542,dd_Smed_v6_15144_0_1,lhx2/9,93,False
542,dd_Smed_v6_2442_0_1,dd2442,79,False
542,dd_Smed_v6_8104_0_1,soxB1-2 (not deposited),69,False
542,dd_Smed_v6_10038_0_1,"Schmidtea mediterranea Zeb-1 mRNA, complete cds",70,False
542,dd_Smed_v6_6114_0_1,dd6114,66,False
542,dd_Smed_v6_17731_0_1,sim,68,False
542,dd_Smed_v6_17726_0_1,Pax6A,50,False
542,dd_Smed_v6_38033_0_1,dd38033,98,False
542,dd_Smed_v6_9893_0_1,coe,90,False
542,dd_Smed_v6_18719_0_1,dd18719,72,False
542,dd_Smed_v6_14362_0_1,dd14362,60,False
542,dd_Smed_v6_17534_0_1,arh,94,False
542,dd_Smed_v6_12617_0_1,dd12617,74,False
542,dd_Smed_v6_58909_0_1,gata4/5/6-3,92,False
542,dd_Smed_v6_13215_0_1,soxB,73,False
