gene_id,gene_name,n_avail,centered_new,centered_old,centered_old_corrected,match_centered,diff_centered_new_vs_old,diff_new_vs_corrected
dd_Smed_v6_11935_0_1,dd11935,6,,0.3518160418192506,0.4290938457257821,False,,
dd_Smed_v6_18972_0_1,dd18972,6,,0.3496696133018485,0.4264759455801692,False,,
dd_Smed_v6_6470_0_1,tbx2/3b,6,,0.3405535661790284,0.4153575221634281,False,,
dd_Smed_v6_9460_0_2,dd9460,6,,0.3287919807632704,0.4010124573625663,False,,
dd_Smed_v6_6778_0_1,dd6778,6,,0.3331765634309305,0.4063601311896042,False,,
dd_Smed_v6_14315_0_1,dd14937,6,,0.3185630632400329,0.3885367171008053,False,,
dd_Smed_v6_8820_0_1,islet1,6,,0.3120895774553978,0.3806413042133869,False,,
dd_Smed_v6_16399_0_1,meis,6,,0.2927237099605529,0.3570216462915682,False,,
dd_Smed_v6_19757_0_1,dd19757,6,,0.3132668018854617,0.3820771107086403,False,,
dd_Smed_v6_18952_0_1,scratch,7,,0.3604666942131024,0.3604666942131024,False,,
