gene_id,gene_name,n_avail,fixed_score,dirichlet_median,uniform_median,corrected_median,diff_current_corrected
dd_Smed_v6_10219_0_1,dd10219,6,0.4204604532799059,0.3356992156743161,0.17136431199730717,0.40943689411077655,-0.07373767843646045
dd_Smed_v6_13772_0_1,PROX-1,6,0.4190357084963354,0.35686866975373405,0.17193653114574847,0.4352563036404865,-0.07838763388675246
dd_Smed_v6_20755_0_1,dd20755,6,0.41479312593161727,0.34187300781552715,0.16666084738191517,0.4169667844446144,-0.07509377662908723
dd_Smed_v6_11935_0_1,dd11935,6,0.41348996611995464,0.3518160418192506,0.16669322505504458,0.4290938457257821,-0.0772778039065315
dd_Smed_v6_18972_0_1,dd18972,6,0.4108910599962217,0.3496696133018485,0.16358359951122325,0.4264759455801692,-0.07680633227832073
dd_Smed_v6_6470_0_1,tbx2/3b,6,0.4072789457161604,0.34055356617902843,0.1603023400129256,0.41535752216342814,-0.0748039559843997
dd_Smed_v6_9460_0_2,dd9460,6,0.4026200418557065,0.32879198076327043,0.1610173221595092,0.4010124573625663,-0.07222047659929587
dd_Smed_v6_6778_0_1,dd6778,6,0.39421294235256654,0.33317656343093055,0.15164006630864807,0.40636013118960423,-0.07318356775867368
dd_Smed_v6_14315_0_1,dd14937,6,0.39012408982586966,0.3185630632400329,0.14579623845058343,0.3885367171008053,-0.06997365386077237
dd_Smed_v6_8820_0_1,islet1,6,0.38096696189635626,0.31208957745539784,0.14866238455603592,0.3806413042133869,-0.06855172675798904
dd_Smed_v6_16399_0_1,meis,6,0.37788175731378365,0.2927237099605529,0.1434346981128209,0.35702164629156824,-0.06429793633101533
dd_Smed_v6_19757_0_1,dd19757,6,0.3769697840674983,0.3132668018854617,0.14090119273158302,0.3820771107086403,-0.06881030882317862
dd_Smed_v6_18952_0_1,scratch,7,0.3531921463735727,0.36046669421310246,0.28975640069582326,0.3604666942131024,5.551115123125783e-17
